ticker,earnings_date,session,friday_amc,reaction_date,prev_close,open_t,gap,eps_estimate,reported_eps,surprise_pct
A,2024-11-25 16:00:00-05:00,amc,False,2024-11-26,132.86669921875,125.48684060446166,-0.055543327693707775,1.41,1.46,3.9
A,2024-08-21 16:00:00-04:00,amc,False,2024-08-22,138.0804901123047,143.39694579139973,0.03850258407086347,1.26,1.32,4.93
A,2024-05-29 16:00:00-04:00,amc,False,2024-05-30,143.2297821044922,123.36194811587352,-0.1387130085426245,1.19,1.22,2.42
A,2024-02-27 16:00:00-05:00,amc,False,2024-02-28,130.2881317138672,137.49304793405432,0.05529986596177644,1.23,1.29,4.68
A,2023-11-20 16:00:00-05:00,amc,False,2023-11-21,111.84583282470703,119.18578568099755,0.0656256265514535,1.34,1.38,3.02
A,2023-08-15 16:00:00-04:00,amc,False,2023-08-16,123.04924011230469,119.46499501175839,-0.029128543152928257,1.37,1.43,4.55
A,2023-05-23 16:00:00-04:00,amc,False,2023-05-24,125.73725128173828,112.60050769910895,-0.10447773789164484,1.26,1.27,0.63
A,2023-02-28 16:00:00-05:00,amc,False,2023-03-01,138.54075622558594,135.23265351724135,-0.023878191504585176,1.31,1.37,4.46
A,2022-11-21 16:00:00-05:00,amc,False,2022-11-22,141.4232940673828,148.08808683754108,0.04712655587687522,1.39,1.53,10.33
A,2022-08-16 16:00:00-04:00,amc,False,2022-08-17,129.1465301513672,144.77795241200621,0.12103633169484382,1.21,1.34,10.96
A,2022-05-24 16:00:00-04:00,amc,False,2022-05-25,120.80072021484375,123.51947372979646,0.022506103524195995,1.12,1.13,1.3
A,2022-02-22 16:00:00-05:00,amc,False,2022-02-23,126.5057144165039,125.91434482500577,-0.004674647261791884,1.18,1.21,2.74
A,2021-11-22 16:00:00-05:00,amc,False,2021-11-23,157.60223388671875,150.93135194624324,-0.04232733112952195,1.18,1.21,2.86
A,2021-08-17 16:00:00-04:00,amc,False,2021-08-18,155.5979461669922,157.81235633084248,0.014231615637610797,0.99,1.1,10.6
A,2021-05-25 16:00:00-04:00,amc,False,2021-05-26,128.66259765625,131.6273868597325,0.023043131861860685,0.83,0.97,16.32
A,2021-02-16 16:00:00-05:00,amc,False,2021-02-17,123.37589263916016,128.05251503758444,0.0379054797366459,0.9,1.06,17.7
A,2020-11-23 16:00:00-05:00,amc,False,2020-11-24,108.02142333984375,114.51946615474672,0.06015513047314354,0.94,0.98,4.51
A,2020-08-18 16:00:00-04:00,amc,False,2020-08-19,94.03752899169922,91.51026080199091,-0.026875102066233506,0.67,0.78,16.91
A,2020-05-21 16:00:00-04:00,amc,False,2020-05-22,77.43327331542969,81.50870777112787,0.05263156626604984,0.61,0.71,16.35
A,2020-02-18 16:00:00-05:00,amc,False,2020-02-19,81.1009292602539,81.01485266109178,-0.0010613515769456292,0.81,0.81,0.17
A,2019-11-25 16:00:00-05:00,amc,False,2019-11-26,76.60624694824219,74.99316640802506,-0.021056775452098296,0.86,0.89,3.98
A,2019-08-14 16:00:00-04:00,amc,False,2019-08-15,62.469669342041016,68.5175818150263,0.09681358228216437,0.72,0.76,5.26
A,2019-05-14 16:00:00-04:00,amc,False,2019-05-15,72.2349853515625,64.01457747912504,-0.11380092115239349,0.72,0.71,-0.89
A,2019-02-20 16:00:00-05:00,amc,False,2019-02-21,74.5059814453125,73.66191142644757,-0.01132888933869658,0.73,0.76,3.94
A,2018-11-19 16:00:00-05:00,amc,False,2018-11-20,59.23259353637695,62.676261465985064,0.058138057512089614,0.74,0.81,10.02
A,2018-08-14 16:00:00-04:00,amc,False,2018-08-15,63.01588439941406,62.251188434583554,-0.012134971557070122,0.63,0.67,6.54
A,2018-05-14 16:00:00-04:00,amc,False,2018-05-15,65.18083953857422,58.23989229702507,-0.10648753975378719,0.64,0.65,1.02
A,2018-02-14 16:00:00-05:00,amc,False,2018-02-15,65.49613952636719,70.42005842243293,0.07517876521689482,0.58,0.66,13.18
A,2017-11-20 16:00:00-05:00,amc,False,2017-11-21,65.59516143798828,65.6795970694803,0.0012872234726007395,0.62,0.67,7.39
A,2017-08-15 16:00:00-04:00,amc,False,2017-08-16,55.560813903808594,58.152657924866034,0.04664877705975747,0.52,0.59,12.87
A,2017-05-22 16:00:00-04:00,amc,False,2017-05-23,52.35645294189453,55.82947049693015,0.0663340879660047,0.48,0.58,19.82
A,2017-02-14 16:00:00-05:00,amc,False,2017-02-15,46.92778015136719,47.62626070967967,0.014884159362738,0.49,0.53,8.3
A,2016-11-15 16:00:00-05:00,amc,False,2016-11-16,42.1585807800293,42.99431251799126,0.019823526373493442,0.52,0.59,13.28
A,2016-08-17 16:00:00-04:00,amc,False,2016-08-18,44.860809326171875,43.4250407661069,-0.03200496338855264,0.47,0.49,4.77
A,2016-05-16 16:00:00-04:00,amc,False,2016-05-17,39.67087173461914,41.53709539561035,0.04704266832035942,0.39,0.44,13.1
A,2016-02-16 16:00:00-05:00,amc,False,2016-02-17,34.15815734863281,32.44471680968886,-0.050161972188834426,0.43,0.46,6.44
A,2015-11-16 16:00:00-05:00,amc,False,2015-11-17,34.294681549072266,33.53216317481401,-0.02223430397413572,0.47,0.5,5.89
A,2015-08-17 16:00:00-04:00,amc,False,2015-08-18,35.56026840209961,35.825950262777226,0.007471312018047934,0.41,0.44,8.21
A,2015-05-18 16:00:00-04:00,amc,False,2015-05-19,38.95286560058594,37.984307592163916,-0.024864871774862508,0.39,0.38,-1.62
A,2015-02-17 16:00:00-05:00,amc,False,2015-02-18,36.93389129638672,37.480793636837625,0.014807601399541941,0.41,0.41,0.19
AAL,2024-10-24 07:00:00-04:00,bmo,False,2024-10-24,12.829999923706055,13.180000305175781,0.027279842833282417,0.17,0.3,80.77
AAL,2024-07-25 07:00:00-04:00,bmo,False,2024-07-25,10.170000076293945,9.920000076293945,-0.024582104043710355,1.05,1.09,3.99
AAL,2024-04-25 07:00:00-04:00,bmo,False,2024-04-25,13.920000076293945,14.210000038146973,0.020833330478704767,-0.29,-0.34,-16.81
AAL,2024-01-25 07:00:00-05:00,bmo,False,2024-01-25,13.930000305175781,14.59000015258789,0.04737974393057853,0.08,0.29,265.56
AAL,2023-10-19 07:00:00-04:00,bmo,False,2023-10-19,11.359999656677246,11.350000381469727,-0.0008802179145878847,0.25,0.38,50.51
AAL,2023-07-20 07:00:00-04:00,bmo,False,2023-07-20,18.600000381469727,18.149999618530273,-0.024193588909157602,1.59,1.92,20.43
AAL,2023-04-27 07:00:00-04:00,bmo,False,2023-04-27,12.739999771118164,12.970000267028809,0.018053414446055193,0.03,0.05,80.7
AAL,2023-01-26 07:00:00-05:00,bmo,False,2023-01-26,16.260000228881836,16.540000915527344,0.01722021418844487,1.08,1.17,8.62
AAL,2022-10-20 07:00:00-04:00,bmo,False,2022-10-20,13.989999771118164,13.949999809265137,-0.0028591824522832218,0.56,0.69,22.49
AAL,2022-07-21 07:00:00-04:00,bmo,False,2022-07-21,15.210000038146973,14.670000076293945,-0.03550295598282032,0.74,0.76,2.36
AAL,2022-04-21 07:00:00-04:00,bmo,False,2022-04-21,19.479999542236328,21.260000228881836,0.09137580741653147,-2.41,-2.32,3.52
AAL,2022-01-20 07:00:00-05:00,bmo,False,2022-01-20,17.309999465942383,17.6299991607666,0.01848640697267621,-1.48,-1.42,3.99
AAL,2021-10-21 07:00:00-04:00,bmo,False,2021-10-21,19.520000457763672,19.6200008392334,0.0051229702420398,-1.03,-0.95,7.76
AAL,2021-07-22 07:00:00-04:00,bmo,False,2021-07-22,21.399999618530273,21.059999465942383,-0.01588785788077698,-1.73,-1.69,2.29
AAL,2021-04-22 07:00:00-04:00,bmo,False,2021-04-22,21.010000228881836,21.579999923706055,0.027129923303887298,-4.33,-4.32,0.27
AAL,2021-01-28 07:00:00-05:00,bmo,False,2021-01-28,16.559999465942383,20.329999923706055,0.22765703981555846,-4.12,-3.86,6.34
AAL,2020-10-22 07:00:00-04:00,bmo,False,2020-10-22,12.75,12.600000381469727,-0.0117646759631587,-5.75,-5.54,3.73
AAL,2020-07-23 07:00:00-04:00,bmo,False,2020-07-23,11.359999656677246,11.270000457763672,-0.00792246493252964,-7.9,-7.82,0.96
AAL,2020-04-30 08:00:00-04:00,bmo,False,2020-04-30,12.630000114440918,11.920000076293945,-0.05621536276434164,-2.36,-2.65,-12.52
AAL,2020-01-23 07:00:00-05:00,bmo,False,2020-01-23,27.219409942626953,27.289151837004123,0.002562211837955784,1.16,1.15,-0.51
AAL,2019-10-24 07:00:00-04:00,bmo,False,2019-10-24,28.094772338867188,29.068007535985057,0.03464114908564201,1.4,1.42,1.61
AAL,2019-07-25 07:00:00-04:00,bmo,False,2019-07-25,34.230892181396484,34.19130284037868,-0.0011565383925142784,1.79,1.82,1.77
AAL,2019-04-26 07:00:00-04:00,bmo,False,2019-04-26,32.967994689941406,31.724666441783107,-0.037713190015091845,0.5,0.52,3.99
AAL,2019-01-24 07:00:00-05:00,bmo,False,2019-01-24,31.1463623046875,33.71483296252858,0.08246454698995555,1.01,1.04,3.41
AAL,2018-10-25 07:00:00-04:00,bmo,False,2018-10-25,29.7750301361084,30.609198214411833,0.02801569215850543,1.13,1.13,0.42
AAL,2018-07-26 07:00:00-04:00,bmo,False,2018-07-26,37.38129425048828,37.04849585220607,-0.008902805666710365,1.59,1.63,2.47
